dataset,filename,method,niqe
sots_o,0101_0.9_0.08.png,original,20.423111
sots_o,0101_0.9_0.08.png,dcp,20.860306
sots_o,0101_0.9_0.08.png,aodnet,20.578361
sots_o,0102_0.85_0.12.png,original,20.662407
sots_o,0102_0.85_0.12.png,dcp,20.350960
sots_o,0102_0.85_0.12.png,aodnet,20.572546
sots_o,0104_0.95_0.12.png,original,20.540136
sots_o,0104_0.95_0.12.png,dcp,20.274267
sots_o,0104_0.95_0.12.png,aodnet,20.739434
sots_o,0105_0.95_0.2.png,original,21.755477
sots_o,0105_0.95_0.2.png,dcp,21.099953
sots_o,0105_0.95_0.2.png,aodnet,21.880362
sots_o,0106_0.9_0.08.png,original,20.619367
sots_o,0106_0.9_0.08.png,dcp,20.187425
sots_o,0106_0.9_0.08.png,aodnet,20.902080
sots_o,0107_0.9_0.08.png,original,20.284450
sots_o,0107_0.9_0.08.png,dcp,20.322034
sots_o,0107_0.9_0.08.png,aodnet,20.355053
sots_o,0108_0.8_0.16.png,original,20.671112
sots_o,0108_0.8_0.16.png,dcp,20.519297
sots_o,0108_0.8_0.16.png,aodnet,20.613056
sots_o,0108_1_0.2.png,original,20.704305
sots_o,0108_1_0.2.png,dcp,20.422968
sots_o,0108_1_0.2.png,aodnet,20.609618
sots_o,0109_0.85_0.08.png,original,20.475668
sots_o,0109_0.85_0.08.png,dcp,20.959051
sots_o,0109_0.85_0.08.png,aodnet,20.861243
sots_o,0110_0.8_0.12.png,original,20.285376
sots_o,0110_0.8_0.12.png,dcp,19.815457
sots_o,0110_0.8_0.12.png,aodnet,20.211281
sots_o,0111_0.8_0.2.png,original,20.556546
sots_o,0111_0.8_0.2.png,dcp,20.285525
sots_o,0111_0.8_0.2.png,aodnet,20.783098
sots_o,0112_0.8_0.2.png,original,20.179810
sots_o,0112_0.8_0.2.png,dcp,19.719018
sots_o,0112_0.8_0.2.png,aodnet,20.141630
sots_o,0113_0.9_0.08.png,original,20.908290
sots_o,0113_0.9_0.08.png,dcp,20.925489
sots_o,0113_0.9_0.08.png,aodnet,21.436190
sots_o,0115_0.8_0.12.png,original,20.623087
sots_o,0115_0.8_0.12.png,dcp,20.428754
sots_o,0115_0.8_0.12.png,aodnet,20.550042
sots_o,0116_0.9_0.16.png,original,20.714845
sots_o,0116_0.9_0.16.png,dcp,20.622109
sots_o,0116_0.9_0.16.png,aodnet,20.802456
sots_o,0117_0.9_0.12.png,original,20.495403
sots_o,0117_0.9_0.12.png,dcp,19.845661
sots_o,0117_0.9_0.12.png,aodnet,20.493653
sots_o,0118_0.9_0.2.png,original,20.474475
sots_o,0118_0.9_0.2.png,dcp,20.208524
sots_o,0118_0.9_0.2.png,aodnet,20.595469
sots_o,0119_0.85_0.12.png,original,20.378169
sots_o,0119_0.85_0.12.png,dcp,20.199895
sots_o,0119_0.85_0.12.png,aodnet,20.645554
sots_o,0120_0.85_0.08.png,original,20.074498
sots_o,0120_0.85_0.08.png,dcp,19.894574
sots_o,0120_0.85_0.08.png,aodnet,20.114852
sots_o,0121_0.85_0.2.png,original,20.194639
sots_o,0121_0.85_0.2.png,dcp,19.984374
sots_o,0121_0.85_0.2.png,aodnet,20.381019
sots_o,0123_1_0.08.png,original,20.042890
sots_o,0123_1_0.08.png,dcp,19.487818
sots_o,0123_1_0.08.png,aodnet,20.283604
sots_o,0125_0.8_0.12.png,original,20.254634
sots_o,0125_0.8_0.12.png,dcp,20.134814
sots_o,0125_0.8_0.12.png,aodnet,20.278503
sots_o,0126_0.8_0.2.png,original,20.584194
sots_o,0126_0.8_0.2.png,dcp,20.632730
sots_o,0126_0.8_0.2.png,aodnet,20.564787
sots_o,0127_0.8_0.2.png,original,20.608153
sots_o,0127_0.8_0.2.png,dcp,20.341083
sots_o,0127_0.8_0.2.png,aodnet,20.582381
sots_o,0129_0.8_0.16.png,original,19.874916
sots_o,0129_0.8_0.16.png,dcp,19.216927
sots_o,0129_0.8_0.16.png,aodnet,19.887702
sots_o,0131_0.95_0.08.png,original,20.550649
sots_o,0131_0.95_0.08.png,dcp,20.649793
sots_o,0131_0.95_0.08.png,aodnet,20.857719
sots_o,0132_1_0.08.png,original,20.819776
sots_o,0132_1_0.08.png,dcp,20.695354
sots_o,0132_1_0.08.png,aodnet,20.881090
sots_o,0133_1_0.2.png,original,20.707506
sots_o,0133_1_0.2.png,dcp,20.654629
sots_o,0133_1_0.2.png,aodnet,20.870160
sots_o,0134_0.95_0.16.png,original,21.113729
sots_o,0134_0.95_0.16.png,dcp,20.436566
sots_o,0134_0.95_0.16.png,aodnet,21.325715
sots_o,0135_0.95_0.12.png,original,20.542199
sots_o,0135_0.95_0.12.png,dcp,20.449726
sots_o,0135_0.95_0.12.png,aodnet,21.169998
sots_o,0137_0.8_0.2.png,original,20.169120
sots_o,0137_0.8_0.2.png,dcp,19.154443
sots_o,0137_0.8_0.2.png,aodnet,20.276679
sots_o,0138_0.9_0.08.png,original,20.089514
sots_o,0138_0.9_0.08.png,dcp,19.756947
sots_o,0138_0.9_0.08.png,aodnet,20.130236
sots_o,0139_0.85_0.12.png,original,20.349372
sots_o,0139_0.85_0.12.png,dcp,20.253150
sots_o,0139_0.85_0.12.png,aodnet,20.382224
